incident_id,date,month,site_id,region,service_type,severity,status,start_time,resolved_time,duration_minutes,affected_customers,root_cause,assigned_team,escalation_level,recommended_action
INC-2026-00283,2026-01-01,2026-01,SITE-0187,Yogyakarta,Voice,Medium,Resolved,2026-01-01T03:34:00,2026-01-01T05:46:00,132,77,Fiber cut,NOC Core,1,Assign service assurance follow-up
INC-2026-00479,2026-01-01,2026-01,SITE-0035,Makassar,Mobile Broadband,Low,Closed,2026-01-01T17:05:00,2026-01-01T17:56:00,51,17,Access node congestion,Customer Assurance,1,Monitor and resolve in standard queue
INC-2026-00493,2026-01-01,2026-01,SITE-0244,Medan,Enterprise VPN,Critical,Resolved,2026-01-01T18:23:00,2026-01-02T05:07:00,644,251,Core router instability,Enterprise Support,3,Open command bridge and dispatch field team
INC-2026-01241,2026-01-01,2026-01,SITE-0097,Yogyakarta,IPTV,High,Resolved,2026-01-01T17:07:00,2026-01-01T22:25:00,318,519,Core router instability,Field Operations,2,Escalate to regional operations lead
INC-2026-00109,2026-01-02,2026-01,SITE-0230,Balikpapan,IPTV,Low,Closed,2026-01-02T16:44:00,2026-01-02T17:31:00,47,78,Power outage,Fiber Maintenance,1,Monitor and resolve in standard queue
INC-2026-00210,2026-01-02,2026-01,SITE-0235,Makassar,Voice,Medium,Resolved,2026-01-02T19:33:00,2026-01-02T21:49:00,136,139,Backhaul packet loss,Customer Assurance,1,Assign service assurance follow-up
INC-2026-00221,2026-01-02,2026-01,SITE-0221,Jakarta,Cloud Connectivity,High,Closed,2026-01-02T13:06:00,2026-01-02T18:31:00,325,226,Access node congestion,Enterprise Support,2,Escalate to regional operations lead
INC-2026-00282,2026-01-02,2026-01,SITE-0161,Jakarta,Fiber Internet,Critical,Resolved,2026-01-02T06:01:00,2026-01-02T14:33:00,512,351,Backhaul packet loss,Enterprise Support,3,Open command bridge and dispatch field team
INC-2026-00579,2026-01-03,2026-01,SITE-0086,Semarang,IPTV,Low,Resolved,2026-01-03T05:02:00,2026-01-03T06:07:00,65,22,Configuration drift,Customer Assurance,1,Monitor and resolve in standard queue
INC-2026-00914,2026-01-03,2026-01,SITE-0084,Medan,Mobile Broadband,High,Closed,2026-01-03T14:22:00,2026-01-03T17:34:00,192,202,Configuration drift,Fiber Maintenance,2,Escalate to regional operations lead
INC-2026-01624,2026-01-03,2026-01,SITE-0025,Makassar,IPTV,Medium,Resolved,2026-01-03T19:21:00,2026-01-03T20:29:00,68,63,Backhaul packet loss,Fiber Maintenance,1,Assign service assurance follow-up
INC-2026-00615,2026-01-04,2026-01,SITE-0110,Balikpapan,Mobile Broadband,Low,Resolved,2026-01-04T11:57:00,2026-01-04T12:55:00,58,19,Fiber cut,Field Operations,1,Monitor and resolve in standard queue
INC-2026-00763,2026-01-04,2026-01,SITE-0207,Yogyakarta,Cloud Connectivity,Medium,Closed,2026-01-04T10:03:00,2026-01-04T12:13:00,130,168,Backhaul packet loss,Field Operations,1,Assign service assurance follow-up
INC-2026-02016,2026-01-04,2026-01,SITE-0085,Makassar,Enterprise VPN,Medium,Resolved,2026-01-04T06:21:00,2026-01-04T09:01:00,160,27,Core router instability,Customer Assurance,1,Assign service assurance follow-up
INC-2026-00031,2026-01-05,2026-01,SITE-0109,Palembang,Voice,Low,Resolved,2026-01-05T00:38:00,2026-01-05T01:34:00,56,26,Backhaul packet loss,Enterprise Support,1,Monitor and resolve in standard queue
INC-2026-01055,2026-01-05,2026-01,SITE-0013,Surabaya,Mobile Broadband,Low,Resolved,2026-01-05T06:50:00,2026-01-05T07:34:00,44,33,Customer premises equipment,NOC Core,1,Monitor and resolve in standard queue
INC-2026-01506,2026-01-05,2026-01,SITE-0021,Jakarta,Enterprise VPN,Medium,Closed,2026-01-05T22:09:00,2026-01-06T01:30:00,201,120,Backhaul packet loss,Enterprise Support,1,Assign service assurance follow-up
INC-2026-01854,2026-01-05,2026-01,SITE-0183,Surabaya,Fiber Internet,High,Resolved,2026-01-05T10:19:00,2026-01-05T18:57:00,518,69,Planned maintenance overrun,NOC Core,2,Escalate to regional operations lead
INC-2026-02121,2026-01-05,2026-01,SITE-0007,Yogyakarta,IPTV,Medium,Resolved,2026-01-05T09:02:00,2026-01-05T11:44:00,162,142,Access node congestion,NOC Core,1,Assign service assurance follow-up
INC-2026-02197,2026-01-05,2026-01,SITE-0079,Palembang,Enterprise VPN,Medium,Escalated,2026-01-05T05:09:00,,141,39,Backhaul packet loss,NOC Core,1,Assign service assurance follow-up
INC-2026-00573,2026-01-06,2026-01,SITE-0146,Semarang,Mobile Broadband,Low,Closed,2026-01-06T19:28:00,2026-01-06T20:35:00,67,29,Access node congestion,Fiber Maintenance,1,Monitor and resolve in standard queue
INC-2026-00825,2026-01-06,2026-01,SITE-0129,Palembang,Fiber Internet,High,Closed,2026-01-06T22:38:00,2026-01-07T03:19:00,281,327,Core router instability,Fiber Maintenance,2,Escalate to regional operations lead
INC-2026-01719,2026-01-06,2026-01,SITE-0190,Balikpapan,IPTV,High,Closed,2026-01-06T04:03:00,2026-01-06T08:12:00,249,275,Planned maintenance overrun,Field Operations,2,Escalate to regional operations lead
INC-2026-02005,2026-01-06,2026-01,SITE-0203,Surabaya,IPTV,Low,Closed,2026-01-06T08:07:00,2026-01-06T09:11:00,64,39,Access node congestion,Fiber Maintenance,1,Monitor and resolve in standard queue
INC-2026-02022,2026-01-06,2026-01,SITE-0117,Yogyakarta,Mobile Broadband,High,Closed,2026-01-06T16:06:00,2026-01-06T21:24:00,318,408,Planned maintenance overrun,Enterprise Support,2,Escalate to regional operations lead
INC-2026-00390,2026-01-07,2026-01,SITE-0226,Semarang,Mobile Broadband,Low,Open,2026-01-07T11:36:00,,51,23,Fiber cut,Fiber Maintenance,1,Monitor and resolve in standard queue
INC-2026-00443,2026-01-07,2026-01,SITE-0051,Jakarta,IPTV,Medium,Closed,2026-01-07T21:17:00,2026-01-07T23:01:00,104,87,Customer premises equipment,Field Operations,1,Assign service assurance follow-up
INC-2026-01321,2026-01-07,2026-01,SITE-0108,Denpasar,Fiber Internet,Low,Resolved,2026-01-07T04:53:00,2026-01-07T06:09:00,76,70,Configuration drift,Fiber Maintenance,1,Monitor and resolve in standard queue
INC-2026-01853,2026-01-07,2026-01,SITE-0120,Balikpapan,Cloud Connectivity,Medium,Resolved,2026-01-07T18:38:00,2026-01-07T20:40:00,122,139,Fiber cut,Enterprise Support,1,Assign service assurance follow-up
INC-2026-02126,2026-01-07,2026-01,SITE-0045,Makassar,Fiber Internet,Medium,Resolved,2026-01-07T00:57:00,2026-01-07T03:45:00,168,138,Planned maintenance overrun,Field Operations,1,Assign service assurance follow-up
INC-2026-00013,2026-01-08,2026-01,SITE-0032,Bandung,Enterprise VPN,High,Closed,2026-01-08T14:32:00,2026-01-08T19:05:00,273,93,Backhaul packet loss,Customer Assurance,2,Escalate to regional operations lead
INC-2026-00922,2026-01-08,2026-01,SITE-0171,Jakarta,Voice,Low,Closed,2026-01-08T23:02:00,2026-01-08T23:42:00,40,17,Power outage,Customer Assurance,1,Monitor and resolve in standard queue
INC-2026-00952,2026-01-08,2026-01,SITE-0008,Denpasar,Fiber Internet,High,Closed,2026-01-08T16:07:00,2026-01-08T20:38:00,271,329,Fiber cut,Enterprise Support,2,Escalate to regional operations lead
INC-2026-01524,2026-01-08,2026-01,SITE-0125,Makassar,IPTV,Medium,Resolved,2026-01-08T09:26:00,2026-01-08T12:14:00,168,165,Fiber cut,Customer Assurance,1,Assign service assurance follow-up
INC-2026-02124,2026-01-08,2026-01,SITE-0071,Jakarta,Fiber Internet,Low,Resolved,2026-01-08T07:16:00,2026-01-08T08:05:00,49,48,Configuration drift,Field Operations,1,Monitor and resolve in standard queue
INC-2026-00087,2026-01-09,2026-01,SITE-0091,Jakarta,Enterprise VPN,Low,Resolved,2026-01-09T10:35:00,2026-01-09T11:27:00,52,14,Backhaul packet loss,Fiber Maintenance,1,Monitor and resolve in standard queue
INC-2026-00649,2026-01-09,2026-01,SITE-0194,Medan,Fiber Internet,Low,Resolved,2026-01-09T15:40:00,2026-01-09T16:42:00,62,31,Customer premises equipment,Fiber Maintenance,1,Monitor and resolve in standard queue
INC-2026-01453,2026-01-09,2026-01,SITE-0105,Makassar,Fiber Internet,Low,Resolved,2026-01-09T09:41:00,2026-01-09T10:35:00,54,52,Planned maintenance overrun,Customer Assurance,1,Monitor and resolve in standard queue
INC-2026-02151,2026-01-09,2026-01,SITE-0051,Jakarta,IPTV,Low,Resolved,2026-01-09T12:15:00,2026-01-09T13:39:00,84,43,Customer premises equipment,Customer Assurance,1,Monitor and resolve in standard queue
INC-2026-00196,2026-01-10,2026-01,SITE-0104,Medan,Cloud Connectivity,Low,Resolved,2026-01-10T23:52:00,2026-01-11T00:35:00,43,49,Access node congestion,Field Operations,1,Monitor and resolve in standard queue
INC-2026-00732,2026-01-10,2026-01,SITE-0187,Yogyakarta,Voice,Medium,Closed,2026-01-10T09:38:00,2026-01-10T12:33:00,175,101,Planned maintenance overrun,Enterprise Support,1,Assign service assurance follow-up
INC-2026-01705,2026-01-10,2026-01,SITE-0206,Semarang,Voice,Medium,Resolved,2026-01-10T13:59:00,2026-01-10T15:51:00,112,185,Configuration drift,NOC Core,1,Assign service assurance follow-up
INC-2026-00637,2026-01-11,2026-01,SITE-0106,Semarang,IPTV,Low,Resolved,2026-01-11T20:39:00,2026-01-11T21:40:00,61,41,Customer premises equipment,Field Operations,1,Monitor and resolve in standard queue
INC-2026-00991,2026-01-11,2026-01,SITE-0076,Semarang,Voice,Low,Resolved,2026-01-11T05:19:00,2026-01-11T06:01:00,42,39,Customer premises equipment,Enterprise Support,1,Monitor and resolve in standard queue
INC-2026-01221,2026-01-11,2026-01,SITE-0110,Balikpapan,Mobile Broadband,Low,Closed,2026-01-11T15:44:00,2026-01-11T16:59:00,75,43,Planned maintenance overrun,Field Operations,1,Monitor and resolve in standard queue
INC-2026-01227,2026-01-11,2026-01,SITE-0094,Medan,Voice,Low,Resolved,2026-01-11T00:23:00,2026-01-11T01:23:00,60,25,Access node congestion,Customer Assurance,1,Monitor and resolve in standard queue
INC-2026-01326,2026-01-11,2026-01,SITE-0066,Semarang,Mobile Broadband,Low,Resolved,2026-01-11T11:37:00,2026-01-11T12:17:00,40,26,Core router instability,Fiber Maintenance,1,Monitor and resolve in standard queue
INC-2026-01563,2026-01-11,2026-01,SITE-0042,Bandung,Voice,Low,Resolved,2026-01-11T10:20:00,2026-01-11T11:03:00,43,16,Customer premises equipment,NOC Core,1,Monitor and resolve in standard queue
INC-2026-01951,2026-01-11,2026-01,SITE-0222,Bandung,Mobile Broadband,Low,Closed,2026-01-11T04:12:00,2026-01-11T05:09:00,57,46,Power outage,Customer Assurance,1,Monitor and resolve in standard queue
INC-2026-00406,2026-01-12,2026-01,SITE-0130,Balikpapan,Enterprise VPN,Low,Closed,2026-01-12T04:48:00,2026-01-12T05:56:00,68,25,Fiber cut,Field Operations,1,Monitor and resolve in standard queue
INC-2026-00432,2026-01-12,2026-01,SITE-0057,Yogyakarta,IPTV,Medium,Closed,2026-01-12T13:12:00,2026-01-12T16:41:00,209,153,Power outage,Customer Assurance,1,Assign service assurance follow-up
INC-2026-00514,2026-01-12,2026-01,SITE-0024,Medan,Voice,Critical,Open,2026-01-12T01:53:00,,803,717,Power outage,Customer Assurance,3,Open command bridge and dispatch field team
INC-2026-00627,2026-01-12,2026-01,SITE-0020,Balikpapan,Mobile Broadband,Medium,Closed,2026-01-12T06:56:00,2026-01-12T08:55:00,119,185,Access node congestion,Field Operations,1,Assign service assurance follow-up
INC-2026-00881,2026-01-12,2026-01,SITE-0023,Surabaya,Cloud Connectivity,Medium,Resolved,2026-01-12T17:58:00,2026-01-12T20:26:00,148,82,Planned maintenance overrun,Enterprise Support,1,Assign service assurance follow-up
INC-2026-01651,2026-01-12,2026-01,SITE-0157,Yogyakarta,Mobile Broadband,Low,Resolved,2026-01-12T12:30:00,2026-01-12T13:28:00,58,27,Customer premises equipment,NOC Core,1,Monitor and resolve in standard queue
INC-2026-00238,2026-01-13,2026-01,SITE-0141,Jakarta,Fiber Internet,Critical,Closed,2026-01-13T05:09:00,2026-01-13T16:08:00,659,572,Customer premises equipment,NOC Core,3,Open command bridge and dispatch field team
INC-2026-00321,2026-01-13,2026-01,SITE-0091,Jakarta,Enterprise VPN,Low,Resolved,2026-01-13T10:19:00,2026-01-13T11:24:00,65,32,Power outage,NOC Core,1,Monitor and resolve in standard queue
INC-2026-00424,2026-01-13,2026-01,SITE-0173,Surabaya,Voice,High,Resolved,2026-01-13T22:23:00,2026-01-14T03:25:00,302,282,Core router instability,Field Operations,2,Escalate to regional operations lead
INC-2026-00965,2026-01-13,2026-01,SITE-0030,Balikpapan,Enterprise VPN,Low,Resolved,2026-01-13T17:21:00,2026-01-13T18:29:00,68,3,Configuration drift,Customer Assurance,1,Monitor and resolve in standard queue
INC-2026-01457,2026-01-13,2026-01,SITE-0014,Medan,Voice,Low,Resolved,2026-01-13T04:08:00,2026-01-13T05:25:00,77,33,Power outage,Fiber Maintenance,1,Monitor and resolve in standard queue
INC-2026-01569,2026-01-13,2026-01,SITE-0147,Yogyakarta,Fiber Internet,High,Resolved,2026-01-13T15:46:00,2026-01-13T19:52:00,246,385,Customer premises equipment,Fiber Maintenance,2,Escalate to regional operations lead
INC-2026-01716,2026-01-13,2026-01,SITE-0198,Denpasar,Fiber Internet,Medium,Resolved,2026-01-13T21:19:00,2026-01-14T00:29:00,190,166,Planned maintenance overrun,Enterprise Support,1,Assign service assurance follow-up
INC-2026-01962,2026-01-13,2026-01,SITE-0092,Bandung,Voice,Medium,Closed,2026-01-13T09:12:00,2026-01-13T11:59:00,167,178,Access node congestion,Customer Assurance,1,Assign service assurance follow-up
INC-2026-00430,2026-01-14,2026-01,SITE-0022,Bandung,Mobile Broadband,Low,Closed,2026-01-14T11:16:00,2026-01-14T12:11:00,55,61,Planned maintenance overrun,NOC Core,1,Monitor and resolve in standard queue
INC-2026-01496,2026-01-14,2026-01,SITE-0170,Balikpapan,Voice,Medium,Resolved,2026-01-14T01:48:00,2026-01-14T03:23:00,95,119,Core router instability,Enterprise Support,1,Assign service assurance follow-up
INC-2026-01541,2026-01-14,2026-01,SITE-0006,Semarang,Cloud Connectivity,Medium,Resolved,2026-01-14T23:06:00,2026-01-15T02:11:00,185,44,Planned maintenance overrun,Enterprise Support,1,Assign service assurance follow-up
INC-2026-01757,2026-01-14,2026-01,SITE-0105,Makassar,Fiber Internet,Medium,Resolved,2026-01-14T08:18:00,2026-01-14T11:31:00,193,130,Customer premises equipment,NOC Core,1,Assign service assurance follow-up
INC-2026-02044,2026-01-14,2026-01,SITE-0240,Balikpapan,Mobile Broadband,Medium,Closed,2026-01-14T10:02:00,2026-01-14T12:29:00,147,85,Fiber cut,Customer Assurance,1,Assign service assurance follow-up
INC-2026-02098,2026-01-14,2026-01,SITE-0090,Balikpapan,IPTV,Low,Resolved,2026-01-14T00:19:00,2026-01-14T01:21:00,62,40,Power outage,Fiber Maintenance,1,Monitor and resolve in standard queue
INC-2026-00244,2026-01-15,2026-01,SITE-0044,Medan,Cloud Connectivity,Low,Closed,2026-01-15T01:35:00,2026-01-15T02:09:00,34,17,Customer premises equipment,Enterprise Support,1,Monitor and resolve in standard queue
INC-2026-00419,2026-01-15,2026-01,SITE-0152,Bandung,Fiber Internet,Critical,Closed,2026-01-15T10:41:00,2026-01-16T00:02:00,801,1166,Core router instability,Field Operations,3,Open command bridge and dispatch field team
INC-2026-00824,2026-01-15,2026-01,SITE-0161,Jakarta,Fiber Internet,Critical,Closed,2026-01-15T04:58:00,2026-01-15T12:24:00,446,620,Power outage,Fiber Maintenance,3,Open command bridge and dispatch field team
INC-2026-00082,2026-01-16,2026-01,SITE-0240,Balikpapan,Mobile Broadband,Low,Resolved,2026-01-16T16:09:00,2026-01-16T17:22:00,73,15,Core router instability,Customer Assurance,1,Monitor and resolve in standard queue
INC-2026-00942,2026-01-16,2026-01,SITE-0071,Jakarta,Fiber Internet,High,Resolved,2026-01-16T15:46:00,2026-01-16T19:55:00,249,496,Core router instability,Fiber Maintenance,2,Escalate to regional operations lead
INC-2026-01639,2026-01-16,2026-01,SITE-0130,Balikpapan,Enterprise VPN,Low,Resolved,2026-01-16T20:44:00,2026-01-16T21:17:00,33,27,Power outage,Field Operations,1,Monitor and resolve in standard queue
