site_id,site_name,region,city,service_type,site_type,capacity_mbps,active_customers,criticality,latitude,longitude,activation_date
SITE-0001,JAK Edge Node 0001,Jakarta,Jakarta,IPTV,Edge,3450,1569,Medium,-6.192078,106.833003,2018-08-04
SITE-0002,BAN Access Node 0002,Bandung,Bandung,Mobile Broadband,Access,1150,1707,Medium,-6.814243,107.455256,2024-03-05
SITE-0003,SUR Access Node 0003,Surabaya,Surabaya,Fiber Internet,Access,1450,1725,High,-7.421002,112.815677,2018-10-24
SITE-0004,MED Access Node 0004,Medan,Medan,IPTV,Access,1350,1384,Medium,3.591189,98.607165,2022-09-13
SITE-0005,MAK Edge Node 0005,Makassar,Makassar,Fiber Internet,Edge,2700,955,Medium,-5.132517,119.574676,2025-05-16
SITE-0006,SEM Access Node 0006,Semarang,Semarang,Cloud Connectivity,Access,1100,791,Medium,-7.102872,110.506583,2023-10-12
SITE-0007,YOG Access Node 0007,Yogyakarta,Yogyakarta,IPTV,Access,1150,1741,High,-7.910704,110.189549,2022-09-21
SITE-0008,DEN Access Node 0008,Denpasar,Denpasar,Fiber Internet,Access,1250,1136,Low,-8.702371,115.207129,2021-12-03
SITE-0009,PAL Access Node 0009,Palembang,Palembang,IPTV,Access,1450,1370,Medium,-2.847833,104.898198,2024-09-06
SITE-0010,BAL Aggregation Node 0010,Balikpapan,Balikpapan,Cloud Connectivity,Aggregation,6700,1461,Medium,-1.089025,116.987066,2023-09-03
SITE-0011,JAK Core Node 0011,Jakarta,Jakarta,Cloud Connectivity,Core,12800,1482,High,-6.174804,106.971335,2022-03-11
SITE-0012,BAN Access Node 0012,Bandung,Bandung,Fiber Internet,Access,1350,1089,High,-7.028414,107.520793,2021-07-25
SITE-0013,SUR Access Node 0013,Surabaya,Surabaya,Mobile Broadband,Access,1450,959,Medium,-7.082509,112.909804,2018-04-19
SITE-0014,MED Access Node 0014,Medan,Medan,Voice,Access,1150,968,Medium,3.580948,98.524344,2025-04-16
SITE-0015,MAK Access Node 0015,Makassar,Makassar,Mobile Broadband,Access,1000,1387,Medium,-5.154345,119.539437,2025-02-13
SITE-0016,SEM Edge Node 0016,Semarang,Semarang,Enterprise VPN,Edge,2650,423,High,-7.049043,110.48057,2016-04-19
SITE-0017,YOG Core Node 0017,Yogyakarta,Yogyakarta,IPTV,Core,13100,1281,Critical,-7.861894,110.327402,2024-07-01
SITE-0018,DEN Aggregation Node 0018,Denpasar,Denpasar,Cloud Connectivity,Aggregation,6600,971,Low,-8.620201,115.082991,2020-12-04
SITE-0019,PAL Access Node 0019,Palembang,Palembang,Enterprise VPN,Access,1350,807,Low,-3.019199,104.953,2022-07-11
SITE-0020,BAL Access Node 0020,Balikpapan,Balikpapan,Mobile Broadband,Access,1200,1343,Medium,-1.369058,116.794157,2023-06-19
SITE-0021,JAK Access Node 0021,Jakarta,Jakarta,Enterprise VPN,Access,1250,921,Medium,-6.282586,106.981661,2025-05-01
SITE-0022,BAN Edge Node 0022,Bandung,Bandung,Mobile Broadband,Edge,2800,1519,Medium,-6.834812,107.469563,2020-01-29
SITE-0023,SUR Access Node 0023,Surabaya,Surabaya,Cloud Connectivity,Access,1400,768,Medium,-7.311675,112.85508,2018-11-16
SITE-0024,MED Aggregation Node 0024,Medan,Medan,Voice,Aggregation,5650,1564,Medium,3.42413,98.713716,2023-10-19
SITE-0025,MAK Aggregation Node 0025,Makassar,Makassar,IPTV,Aggregation,6650,889,Medium,-5.220224,119.507293,2016-04-13
SITE-0026,SEM Access Node 0026,Semarang,Semarang,Enterprise VPN,Access,1100,241,Medium,-7.021812,110.529572,2025-02-03
SITE-0027,YOG Aggregation Node 0027,Yogyakarta,Yogyakarta,IPTV,Aggregation,6450,1421,Medium,-7.79222,110.476801,2023-02-15
SITE-0028,DEN Access Node 0028,Denpasar,Denpasar,Voice,Access,1400,1667,Critical,-8.694414,115.328059,2021-04-06
SITE-0029,PAL Edge Node 0029,Palembang,Palembang,Voice,Edge,3150,1139,Medium,-2.82831,104.611616,2022-09-16
SITE-0030,BAL Access Node 0030,Balikpapan,Balikpapan,Enterprise VPN,Access,1450,144,Medium,-1.309252,116.919554,2018-12-03
SITE-0031,JAK Aggregation Node 0031,Jakarta,Jakarta,Cloud Connectivity,Aggregation,6050,1497,Low,-6.31648,106.799593,2017-02-05
